Ticker,NumDays,LSTMTopLayer,TrainingRMSE,TestRMSE,LastDayValue,NextDayValue,file_name
BAC,3,64,0.6081747044148942,0.3555413477783204,23.56804084777832,24.095582962036133,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/BAC.csv
BAC,7,64,0.606963117405762,0.344940549532213,23.54143714904785,24.102338790893555,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/BAC.csv
XPO,3,32,1.4711642872541733,2.243284521728512,29.64142227172852,30.483301162719727,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/XPO.csv
XPO,7,32,1.5354588941132987,2.134862391941686,29.70184326171875,30.633878707885746,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/XPO.csv
XPO,3,64,1.440499843248767,1.7187312227783167,29.11686897277832,30.12586784362793,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/XPO.csv
XPO,7,64,1.4193018603274066,1.4925287091731565,29.042695999145508,29.824853897094727,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/XPO.csv
UNP,3,32,3.447697916225937,6.675916582519534,112.68091583251952,117.14078521728516,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/UNP.csv
UNP,7,32,3.246545968940759,4.927875525386533,112.11078643798828,115.18091583251952,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/UNP.csv
UNP,3,64,2.670663487028578,3.7605952324218777,109.76559448242188,112.57442474365234,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/UNP.csv
UNP,7,64,2.745655091564185,3.345656379260335,110.51144409179688,112.99030303955078,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/UNP.csv
AMZN,3,32,59.5150012977789,103.47344989843748,1009.4134521484376,1039.430908203125,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/AMZN.csv
AMZN,7,32,58.2979810696137,111.59264212426253,1011.5186157226562,1024.3326416015625,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/AMZN.csv
AMZN,3,64,51.91221892735675,74.00115985937498,979.941162109375,1004.54736328125,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/AMZN.csv
AMZN,7,64,52.44777296772555,72.88628645293403,972.4361572265624,999.5728759765624,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/AMZN.csv
INTC,3,32,1.064860521782452,1.0120857661132805,37.12958526611328,37.909324645996094,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/INTC.csv
INTC,7,32,1.1258519295306566,1.2883625720489948,37.4234733581543,38.9619140625,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/INTC.csv
INTC,3,64,1.0079143207510894,0.8993385737304678,37.01683807373047,38.1441535949707,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/INTC.csv
INTC,7,64,1.0327885972239363,0.9489158322002368,37.117794036865234,38.55889892578125,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/INTC.csv
TMO,3,32,7.817526596146406,15.322925554687515,168.1854248046875,172.51026916503906,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/TMO.csv
TMO,7,32,7.275673616146294,13.86026701626108,167.04779052734375,170.75653076171875,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/TMO.csv
TMO,3,64,6.656366998456839,11.822299944335953,164.68479919433594,168.24774169921875,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/TMO.csv
TMO,7,64,6.529982169346219,10.114535170411765,163.3152618408203,167.27305603027344,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/TMO.csv
UPS,3,32,2.892579593285737,0.2562294980468635,106.97872924804688,112.14933776855467,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/UPS.csv
UPS,7,32,3.0218993731566592,0.7124880456627923,106.67667388916016,109.41626739501952,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/UPS.csv
UPS,3,64,2.5576920903695872,0.0445900937499885,106.76708984375,110.63176727294922,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/UPS.csv
UPS,7,64,2.47349973165289,0.5857564439946903,106.49943542480467,109.27552032470705,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/UPS.csv
MSFT,3,32,4.222498757536638,7.307081409179688,73.02458190917969,74.47349548339844,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/MSFT.csv
MSFT,7,32,4.197202073202094,5.792770277025508,71.56062316894531,72.90556335449219,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/MSFT.csv
MSFT,3,64,3.014884544790039,3.428625293457032,69.14612579345703,69.60391998291016,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/MSFT.csv
MSFT,7,64,3.029993752466773,3.918405264467689,69.70841217041016,70.30315399169922,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/MSFT.csv
NVDA,3,32,5.204323244069333,6.720111825805663,31.761362075805664,33.50177383422852,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/NVDA.csv
NVDA,7,32,4.983869545187958,6.040479239139263,31.29442024230957,32.91090774536133,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/NVDA.csv
NVDA,3,64,3.7222456916958655,2.414766290527343,27.456016540527344,28.09110450744629,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/NVDA.csv
NVDA,7,64,3.857610570092194,3.868542884854213,29.1566219329834,29.640953063964844,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/NVDA.csv
FDX,3,32,4.9054867784544935,4.479015252929685,191.7434844970703,196.36703491210935,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/FDX.csv
FDX,7,32,4.490686591631826,5.0771649978840685,193.1322021484375,199.3156280517578,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/FDX.csv
FDX,3,64,4.827149321138667,4.56443395410156,191.65806579589844,193.45025634765625,/Users/Owner/Documents/CS5100/Stock-Price-Prediction-LSTM/stock_data/daily_stock_data_4_april/FDX.csv
